"Bait","Prey","mu_cell","serr_mu_cell","mu_py","serr_mu_py","selected"
"Exo70-FRB","Sec5_GFP_N",20.46,1.67,22.42,2.27,"sel"
"Sec3-FRB","Sec5_GFP_N",22.51,1.41,19.73,1.79,"sel"
"Sec3-FRB","Sec6_GFP_N",20.56,2.06,20.72,1.86,"sel"
"Sec3-FRB","Sec10_GFP_N",20.56,3.65,22.95,3.03,"sel"
"Sec3-FRB","Sec15_GFP_N",23.65,3.61,25.64,6.05,"sel"
"Sec6-FRB","Sec3_GFP_N",21.09,4.19,23.31,2.63,"sel"
"Sec6-FRB","Exo70_GFP_N",22.98,3.1,77.28,7.63,"non-sel"
"Sec6-FRB","Exo84_GFP_N",20.22,2.38,18.52,72.47,"non-sel"
"Sec8-FRB","Sec3_GFP_N",24,2.02,20.66,1.82,"sel"
"Sec8-FRB","Sec5_GFP_N",22.47,2.26,20.91,0.83,"sel"
"Sec8-FRB","Sec6_GFP_N",18.92,1.44,22.94,1.83,"sel"
"Sec8-FRB","Sec10_GFP_N",27.37,2.51,28.02,2.05,"sel"
"Sec15-FRB","Sec3_GFP_N",23.91,2.83,24.06,2.45,"sel"
"Sec15-FRB","Sec5_GFP_N",23.83,3.63,30.03,2.97,"sel"
"Sec10-FRB","Sec5_GFP_N",15.55,4.82,27.95,3.73,"non-sel"
"Sec10-FRB","Sec6_GFP_N",23.48,2.72,23.72,0.32,"sel"
"Sec10-FRB","Sec15_GFP_N",16.78,2.21,17.98,2.97,"sel"
"Sec15-FRB","Sec6_GFP_N",27.51,2.63,26.5,2.93,"sel"
"Exo70-FRB","Sec6_GFP_N",25.29,1.81,24.39,1.5,"sel"
"Sec15-FRB","Sec10_GFP_N",21.47,2.83,22.92,2.7,"sel"
"Exo70-FRB","Sec3_GFP_N",19.72,2.36,19.35,1.81,"sel"
"Exo70-FRB","Sec15_GFP_N",21.05,1.8,25.13,2.09,"sel"
"Exo70-FRB","Exo84_GFP_N",18.38,1.63,17.16,2.38,"sel"
"Exo84-FRB","Sec3_GFP_N",19.45,2.11,21.86,2.62,"sel"
"Exo84-FRB","Sec5_GFP_N",23.92,1.95,28.39,2.49,"sel"
"Exo84-FRB","Sec6_GFP_N",27.15,1.77,25.26,1.12,"sel"
"Exo84-FRB","Sec10_GFP_N",23.47,2.74,30.64,0.78,"non-sel"
"Sec3-FRB","Exo70_GFP_N",23.28,2.32,25.82,2.13,"sel"
"Sec8-FRB","Exo84_GFP_N",23.34,1.74,23.89,1.78,"sel"
"Sec10-FRB","Exo84_GFP_N",15.36,2.37,31.89,3.3,"non-sel"
"Sec8-FRB","Exo70_GFP_N",23.26,1.8,21.66,3.02,"sel"
"Sec10-FRB","Exo70_GFP_N",22.04,3.21,34.08,3.83,"non-sel"
"Sec3-FRB","Exo84_GFP_N",22.55,2.01,21.58,2.48,"sel"
"Exo84-FRB","Exo70_GFP_N",18.92,3.25,24.71,3.36,"sel"
"Sec15-FRB","Exo84_GFP_N",24.32,2.23,22.71,2.19,"sel"
